,corp_name
1253,아세아제지
1254,아세아텍
1255,아센디오
1256,아스타
1257,아스트
1258,아시아경제
1259,아시아나IDT
1260,아시아나항공
1261,아시아종묘
1262,아우딘퓨쳐스
1263,아이디스
1264,아이디스홀딩스
1265,아이디피
1266,아이마켓코리아
1267,아이비김영
1268,아이센스
1269,아이스크림에듀
1270,아이쓰리시스템
1271,아이씨디
1272,아이씨케이
1273,아이앤씨
1274,아이에스동서
1275,아이에스이커머스
1276,아이에이
1277,아이엘사이언스
1278,아이엠
1279,아이엠텍
1280,아이오케이
1281,아이원스
1282,아이즈비전
1283,아이진
1284,아이컴포넌트
1285,아이케이세미콘
1286,아이퀘스트
1287,아이큐어
1288,아이크래프트
1289,아이텍
1290,아이톡시
1291,아이티센
1292,아이티엠반도체
1293,아이피몬스터
1294,아주IB투자
1295,아즈텍WB
1296,아진산업
1297,아진엑스텍
1298,아톤
1299,아퓨어스
1300,아프리카TV
1301,안국약품
1302,안랩
1303,안지오랩
1304,안트로젠
1305,알로이스
1306,알루코
1307,알리코제약
1308,알서포트
1309,알에스오토메이션
1310,알에프세미
1311,알에프텍
1312,알엔투테크놀로지
1313,알체라
1314,알테오젠
1315,알톤스포츠
1316,알티캐스트
1317,알파홀딩스
1318,압타머사이언스
1319,압타바이오
1320,앙츠
1321,애경산업
1322,애경유화
1323,애니젠
1324,애니플러스
1325,애드바이오텍
1326,액션스퀘어
1327,액토즈소프트
1328,액트
1329,액트로
1330,앤디포스
1331,앤씨앤
1332,앱코
1333,앱클론
1334,야스
1335,양지사
1336,어보브반도체
1337,얼라인드
1338,엄지하우스
1339,에너토크
1340,에넥스
1341,에브리봇
1342,에스넷
1343,에스디생명공학
1344,에스디시스템
1345,에스맥
1346,에스씨디
1347,에스씨엠생명과학
1348,에스아이리소스
1349,에스알바이오텍
1350,에스앤더블류
1351,에스앤디
1352,에스앤씨엔진그룹
1353,에스앤에스텍
1354,에스에너지
1355,에스에스알
1356,에스에이엠티
1357,에스에이티
1358,에스에이티이엔지
1359,에스에프에이
1360,에스엔유
1361,에스엔피제네틱스
1362,에스엘
1363,에스엘바이오닉스
1364,에스엘에스바이오
1365,에스엠
1366,에스엠비나
1367,에스엠코어
1368,에스와이
1369,에스원
1370,에스제이그룹
1371,에스제이케이
1372,에스제이켐
1373,에스케이씨에스
1374,에스코넥
1375,에스텍
1376,에스텍파마
1377,에스트래픽
1378,에스티아이
1379,에스티오
1380,에스티큐브
1381,에스티팜
1382,에스폴리텍
1383,에스퓨얼셀
1384,에스피시스템스
1385,에스피지
1386,에쎈테크
1387,에쓰씨엔지니어링
1388,에어부산
1389,에이디칩스
1390,에이디테크놀로지
1391,에이루트
1392,에이리츠
1393,에이블씨엔씨
1394,에이비엘바이오
1395,에이비온
1396,에이비프로바이오
1397,에이스침대
1398,에이스캠퍼
1399,에이스테크
1400,에이스토리
1401,에이씨티
1402,에이아이비트
1403,에이에프더블류
1404,에이엔피
1405,에이원알폼
1406,에이치시티
1407,에이치엔에스하이텍
1408,에이치엔티
1409,에이치엘비
1410,에이치엘비생명과학
1411,에이치엘비제약
1412,에이치엘비파워
1413,에이치엘사이언스
1414,에이치엠씨제4호스팩
1415,에이치엠씨제5호스팩
1416,에이치케이
1417,에이테크솔루션
1418,에이텍
1419,에이텍티앤
1420,에이트원
1421,에이티넘인베스트
1422,에이티세미콘
1423,에이팩트
1424,에이팸
1425,에이펙스인텍
1426,에이프로
1427,에이프로젠 H&G
1428,에이프로젠 KIC
1429,에이프로젠제약
1430,에이플러스에셋
1431,에이피티씨
1432,에치에프알
1433,에코마이스터
1434,에코마케팅
1435,에코바이오
1436,에코캡
1437,에코프로
1438,에코프로비엠
1439,에코플라스틱
1440,에프알텍
1441,에프앤가이드
1442,에프앤리퍼블릭
1443,에프에스티
1444,에프엔씨엔터
1445,에프엔에스테크
1446,엑사이엔씨
1447,엑세스바이오
1448,엑셈
1449,엑스큐어
1450,엑시콘
1451,엔바이오니아
1452,엔브이에이치코리아
1453,엔비티
1454,엔솔바이오사이언스
1455,엔시스
1456,엔시트론
1457,엔씨소프트
1458,엔에스
1459,엔에스쇼핑
1460,엔에스엔
1461,엔에스엠
1462,엔에스컴퍼니
1463,엔에이치스팩13호
1464,엔에이치스팩16호
1465,엔에이치스팩17호
1466,엔에이치스팩18호
1467,엔에프씨
1468,엔젠바이오
1469,엔지브이아이
1470,엔지스테크널러지
1471,엔지켐생명과학
1472,엔케이
1473,엔케이맥스
1474,엔케이물산
1475,엔텔스
1476,엔투텍
1477,엔피디
1478,엔피케이
1479,엘디티
1480,엘리비젼
1481,엘브이엠씨홀딩스
1482,엘비세미콘
1483,엘아이에스
1484,엘앤씨바이오
1485,엘앤에프
1486,엘앤케이바이오
1487,엘에이티
1488,엘엠에스
1489,엘오티베큠
1490,엘이티
1491,엘컴텍
1492,엘티씨
1493,엠게임
1494,엠로
1495,엠벤처투자
1496,엠브레인
1497,엠씨넥스
1498,엠아이텍
1499,엠앤씨생명과학
1500,엠에스씨
1501,엠에스오토텍
1502,엠에프엠코리아
1503,엠젠플러스
1504,엠케이전자
1505,엠투아이
1506,엠투엔
1507,엠플러스
1508,연우
1509,연이비앤티
1510,영림원소프트랩
1511,영보화학
1512,영신금속
1513,영우디에스피
1514,영원무역
1515,영원무역홀딩스
1516,영진약품
1517,영풍
1518,영풍정밀
1519,영풍제지
1520,영화금속
1521,영화테크
1522,영흥
1523,예림당
1524,예선테크
1525,예스24
1526,예스코홀딩스
1527,예스티
1528,오가닉티코스메틱
1529,오공
1530,오디텍
1531,오뚜기
1532,오로라
1533,오로스테크놀로지
1534,오르비텍
1535,오리엔탈정공
1536,오리엔트바이오
1537,오리엔트정공
1538,오리온
1539,오리온홀딩스
1540,오리콤
1541,오상자이엘
1542,오성첨단소재
1543,오션브릿지
1544,오션스톤
1545,오스코텍
1546,오스테오닉
1547,오스템
1548,오스템임플란트
1549,오이솔루션
1550,오킨스전자
1551,오텍
1552,오파스넷
1553,오픈베이스
1554,오하임아이엔티
1555,올리패스
1556,올릭스
1557,옴니시스템
